concept_id,concept_code,concept_name,vocabulary_id,fluid,category
43198781,OMOP432056,1000 ML Calcium Chloride 0.15 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe,RxNorm Extension,ringer,balanced
43198782,OMOP432057,1000 ML Calcium Chloride 0.15 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 1,RxNorm Extension,ringer,balanced
43165808,OMOP432058,1000 ML Calcium Chloride 0.15 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE B],RxNorm Extension,ringer,balanced
43220616,OMOP432059,1000 ML Calcium Chloride 0.15 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE B] Box of 1,RxNorm Extension,ringer,balanced
43187764,OMOP432060,1000 ML Calcium Chloride 0.15 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE B] Box of 1 by B.Braun,RxNorm Extension,ringer,balanced
43044395,OMOP4859402,1000 ML Calcium Chloride 0.15 MG/ML / Potassium Chloride 0.3 MG/ML / sodium (s) lactate 3.1 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
43044396,OMOP4859403,1000 ML Calcium Chloride 0.15 MG/ML / Potassium Chloride 0.3 MG/ML / sodium (s) lactate 3.1 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by B.Braun,RxNorm Extension,ringer,balanced
42918207,OMOP4645091,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
40708294,OMOP4749387,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 1,RxNorm Extension,ringer,balanced
40708293,OMOP4749388,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 10,RxNorm Extension,ringer,balanced
40708292,OMOP4749389,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 12,RxNorm Extension,ringer,balanced
40708291,OMOP4749390,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven],RxNorm Extension,ringer,balanced
40708289,OMOP4749392,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] Box of 1,RxNorm Extension,ringer,balanced
40708288,OMOP4749393,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] Box of 1 by Terumo BCT,RxNorm Extension,ringer,balanced
40708290,OMOP4749391,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] by Terumo BCT,RxNorm Extension,ringer,balanced
40708277,OMOP4749404,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex],RxNorm Extension,ringer,balanced
40708275,OMOP4749406,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 1,RxNorm Extension,ringer,balanced
40708273,OMOP4749408,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 10,RxNorm Extension,ringer,balanced
40708272,OMOP4749409,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 10 by Maco,RxNorm Extension,ringer,balanced
40708271,OMOP4749410,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 12,RxNorm Extension,ringer,balanced
